rho_train,replicate,metric,model,score,rank,is_best
0.9,5,iid_test,rbf_svm,0.9923333333333333,3.0,False
0.9,6,iid_test,gradient_boosting,0.9916666666666667,5.0,False
0.9,6,iid_test,logistic_regression,0.995,2.0,False
0.9,6,iid_test,mlp,0.9943333333333333,3.5,False
0.9,6,iid_test,random_forest,0.9943333333333333,3.5,False
0.9,6,iid_test,rbf_svm,0.9953333333333333,1.0,True
0.9,7,iid_test,gradient_boosting,0.9926666666666667,3.0,False
0.9,7,iid_test,logistic_regression,0.9956666666666667,2.0,False
0.9,7,iid_test,mlp,0.9913333333333333,5.0,False
0.9,7,iid_test,random_forest,0.9916666666666667,4.0,False
0.9,7,iid_test,rbf_svm,0.9963333333333333,1.0,True
0.9,8,iid_test,gradient_boosting,0.9933333333333333,4.0,False
0.9,8,iid_test,logistic_regression,0.9946666666666667,1.5,True
0.9,8,iid_test,mlp,0.987,5.0,False
0.9,8,iid_test,random_forest,0.994,3.0,False
0.9,8,iid_test,rbf_svm,0.9946666666666667,1.5,True
0.9,9,iid_test,gradient_boosting,0.992,4.0,False
0.9,9,iid_test,logistic_regression,0.994,2.5,False
0.9,9,iid_test,mlp,0.9943333333333333,1.0,True
0.9,9,iid_test,random_forest,0.9913333333333333,5.0,False
0.9,9,iid_test,rbf_svm,0.994,2.5,False
0.9,10,iid_test,gradient_boosting,0.991,4.0,False
0.9,10,iid_test,logistic_regression,0.9933333333333333,1.5,True
0.9,10,iid_test,mlp,0.9923333333333333,3.0,False
0.9,10,iid_test,random_forest,0.9873333333333333,5.0,False
0.9,10,iid_test,rbf_svm,0.9933333333333333,1.5,True
0.9,11,iid_test,gradient_boosting,0.994,4.0,False
0.9,11,iid_test,logistic_regression,0.996,2.0,False
0.9,11,iid_test,mlp,0.9963333333333333,1.0,True
0.9,11,iid_test,random_forest,0.9936666666666667,5.0,False
0.9,11,iid_test,rbf_svm,0.9956666666666667,3.0,False
0.9,12,iid_test,gradient_boosting,0.99,4.0,False
0.9,12,iid_test,logistic_regression,0.9916666666666667,2.5,False
0.9,12,iid_test,mlp,0.9916666666666667,2.5,False
0.9,12,iid_test,random_forest,0.989,5.0,False
0.9,12,iid_test,rbf_svm,0.9926666666666667,1.0,True
0.9,13,iid_test,gradient_boosting,0.992,3.0,False
0.9,13,iid_test,logistic_regression,0.994,1.0,True
0.9,13,iid_test,mlp,0.9916666666666667,4.0,False
0.9,13,iid_test,random_forest,0.9886666666666667,5.0,False
0.9,13,iid_test,rbf_svm,0.9926666666666667,2.0,False
0.9,14,iid_test,gradient_boosting,0.9893333333333333,4.0,False
0.9,14,iid_test,logistic_regression,0.9933333333333333,1.0,True
0.9,14,iid_test,mlp,0.992,2.0,False
0.9,14,iid_test,random_forest,0.985,5.0,False
0.9,14,iid_test,rbf_svm,0.991,3.0,False
0.9,15,iid_test,gradient_boosting,0.99,4.0,False
0.9,15,iid_test,logistic_regression,0.9946666666666667,2.0,False
0.9,15,iid_test,mlp,0.9923333333333333,3.0,False
0.9,15,iid_test,random_forest,0.989,5.0,False
0.9,15,iid_test,rbf_svm,0.995,1.0,True
0.9,16,iid_test,gradient_boosting,0.9916666666666667,5.0,False
0.9,16,iid_test,logistic_regression,0.995,1.0,True
0.9,16,iid_test,mlp,0.992,3.5,False
0.9,16,iid_test,random_forest,0.992,3.5,False
0.9,16,iid_test,rbf_svm,0.9943333333333333,2.0,False
0.9,17,iid_test,gradient_boosting,0.989,5.0,False
0.9,17,iid_test,logistic_regression,0.994,1.0,True
0.9,17,iid_test,mlp,0.9926666666666667,3.0,False
0.9,17,iid_test,random_forest,0.9896666666666667,4.0,False
0.9,17,iid_test,rbf_svm,0.9936666666666667,2.0,False
0.9,18,iid_test,gradient_boosting,0.9896666666666667,4.0,False
0.9,18,iid_test,logistic_regression,0.9943333333333333,1.5,True
0.9,18,iid_test,mlp,0.9926666666666667,3.0,False
0.9,18,iid_test,random_forest,0.9893333333333333,5.0,False
0.9,18,iid_test,rbf_svm,0.9943333333333333,1.5,True
0.9,19,iid_test,gradient_boosting,0.991,4.0,False
0.9,19,iid_test,logistic_regression,0.992,3.0,False
0.9,19,iid_test,mlp,0.9943333333333333,1.0,True
0.9,19,iid_test,random_forest,0.987,5.0,False
0.9,19,iid_test,rbf_svm,0.9926666666666667,2.0,False
0.9,0,average_ood,gradient_boosting,0.4546666666666666,4.0,False
0.9,0,average_ood,logistic_regression,0.5531999999999999,2.0,False
0.9,0,average_ood,mlp,0.5423333333333333,3.0,False
0.9,0,average_ood,random_forest,0.4126666666666667,5.0,False
0.9,0,average_ood,rbf_svm,0.5536666666666666,1.0,True
0.9,1,average_ood,gradient_boosting,0.4366666666666667,4.0,False
0.9,1,average_ood,logistic_regression,0.533,2.0,False
0.9,1,average_ood,mlp,0.5820666666666666,1.0,True
0.9,1,average_ood,random_forest,0.3992,5.0,False
0.9,1,average_ood,rbf_svm,0.5256666666666667,3.0,False
0.9,2,average_ood,gradient_boosting,0.4385333333333333,4.0,False
0.9,2,average_ood,logistic_regression,0.5296000000000001,2.0,False
0.9,2,average_ood,mlp,0.5539333333333334,1.0,True
0.9,2,average_ood,random_forest,0.4082,5.0,False
0.9,2,average_ood,rbf_svm,0.5264,3.0,False
0.9,3,average_ood,gradient_boosting,0.44853333333333334,4.0,False
0.9,3,average_ood,logistic_regression,0.5472666666666667,2.0,False
0.9,3,average_ood,mlp,0.5925999999999999,1.0,True
0.9,3,average_ood,random_forest,0.4014666666666667,5.0,False
0.9,3,average_ood,rbf_svm,0.5407333333333334,3.0,False
0.9,4,average_ood,gradient_boosting,0.4592666666666666,4.0,False
0.9,4,average_ood,logistic_regression,0.5449333333333334,3.0,False
0.9,4,average_ood,mlp,0.579,1.0,True
0.9,4,average_ood,random_forest,0.40953333333333325,5.0,False
0.9,4,average_ood,rbf_svm,0.5555333333333332,2.0,False
0.9,5,average_ood,gradient_boosting,0.44993333333333335,4.0,False
0.9,5,average_ood,logistic_regression,0.5465333333333333,3.0,False
0.9,5,average_ood,mlp,0.5744666666666667,1.0,True
0.9,5,average_ood,random_forest,0.4076666666666666,5.0,False
0.9,5,average_ood,rbf_svm,0.5511333333333334,2.0,False
