rho_train,replicate,model,d3_flip_rate_spurious,d3_probability_sensitivity_spurious,auxiliary_train_r2_spurious,d3_flip_rate_noise,d3_probability_sensitivity_noise,auxiliary_train_r2_noise,d3_excess,d3_probability_sensitivity_excess
0.5,8,logistic_regression,0.0505,0.0470313190043209,0.15080007836180676,0.001,0.0006011957495949655,0.00017043864519217244,0.0495,0.04643012325472593
0.5,8,rbf_svm,0.0535,0.05097266611050364,0.15080007836180676,0.01,0.014752486814070327,0.00017043864519217244,0.0435,0.036220179296433314
0.5,8,random_forest,0.0535,0.05935590007215007,0.15080007836180676,0.011,0.013911810606060605,0.00017043864519217244,0.042499999999999996,0.045444089466089466
0.5,8,gradient_boosting,0.045,0.05002226762688407,0.15080007836180676,0.023,0.0213608118703439,0.00017043864519217244,0.022,0.028661455756540166
0.5,8,mlp,0.046,0.04571121060092564,0.15080007836180676,0.0075,0.007611222234704977,0.00017043864519217244,0.0385,0.03809998836622066
0.5,9,logistic_regression,0.057,0.05499157204517375,0.13917616874689387,0.001,0.0017569856949869532,0.0010336083211166525,0.056,0.0532345863501868
0.5,9,rbf_svm,0.0585,0.0569463942252479,0.13917616874689387,0.0085,0.01027909131248066,0.0010336083211166525,0.05,0.046667302912767245
0.5,9,random_forest,0.0705,0.06907030533910534,0.13917616874689387,0.0045,0.012335515079365077,0.0010336083211166525,0.06599999999999999,0.056734790259740264
0.5,9,gradient_boosting,0.072,0.06550831046870399,0.13917616874689387,0.0165,0.01663433991884067,0.0010336083211166525,0.055499999999999994,0.048873970549863324
0.5,9,mlp,0.0595,0.05923134146406153,0.13917616874689387,0.011,0.01014539665354415,0.0010336083211166525,0.0485,0.04908594481051738
0.7,0,logistic_regression,0.072,0.07594066905242494,0.2749826529560875,0.0005,0.0008042877983663792,0.0003001166577384362,0.0715,0.07513638125405857
0.7,0,rbf_svm,0.0745,0.07460455385920152,0.2749826529560875,0.006,0.009734112808182262,0.0003001166577384362,0.06849999999999999,0.06487044105101926
0.7,0,random_forest,0.0815,0.09450201284271284,0.2749826529560875,0.0035,0.00915634761904762,0.0003001166577384362,0.078,0.08534566522366523
