rho_train,replicate,model,feature_condition,environment_type,rho_environment,rho_ood,accuracy,balanced_accuracy,roc_auc,brier_score,log_loss
0.0,2,mlp,all_features,iid_validation,0.0,,0.9025,0.902514326640399,0.9685139005172495,0.07044949324082886,0.22903586881639826
0.0,2,mlp,all_features,iid_test,0.0,,0.9203333333333333,0.9203274139154025,0.9799239643092699,0.056559413229081486,0.18929689048498774
0.0,2,mlp,all_features,ood,0.3,0.3,0.913,0.9126716933285133,0.978117726462454,0.05954898987494934,0.19818351405144116
0.0,2,mlp,all_features,ood,-0.3,-0.3,0.9113333333333333,0.9112604498062529,0.9754699634201208,0.0635208251818505,0.20777005534920356
0.0,2,mlp,all_features,ood,-0.6,-0.6,0.9023333333333333,0.9024988094237612,0.9739625089654504,0.06585203683916652,0.21252829896965325
0.0,2,mlp,all_features,ood,-0.9,-0.9,0.9013333333333333,0.9014607756658319,0.9730399392499431,0.06663767738783506,0.2151627801283124
0.0,2,mlp,stable_only,iid_validation,0.0,,0.897,0.897276312854415,0.9690280491061917,0.0708161280766071,0.22799277287213027
0.0,2,mlp,stable_only,iid_test,0.0,,0.9206666666666666,0.9206505256009344,0.9799288532068502,0.05548540571863643,0.18185675959729883
0.0,2,mlp,stable_only,ood,0.3,0.3,0.9156666666666666,0.9156465534896062,0.9779975210982674,0.05905891248166811,0.19034810283395162
0.0,2,mlp,stable_only,ood,-0.3,-0.3,0.912,0.9121122612838346,0.9764956049017394,0.06173189276266148,0.19665781799608434
0.0,2,mlp,stable_only,ood,-0.6,-0.6,0.907,0.9069329555504864,0.9753871985151925,0.06386219393355952,0.2005120149187471
0.0,2,mlp,stable_only,ood,-0.9,-0.9,0.906,0.9059672348053722,0.9757715577338949,0.06280100968744197,0.19910009678852097
0.0,3,logistic_regression,all_features,iid_validation,0.0,,0.9075,0.9076320181934736,0.9747659560424394,0.06419369584199675,0.20355457891233186
0.0,3,logistic_regression,all_features,iid_test,0.0,,0.9013333333333333,0.9011706373470001,0.9743460328401019,0.06533272343124354,0.20344446474151653
